Title,Rating
Dune: Part One,8.2
Shang-Chi și legenda celor zece inele,7.7
Jai Bhim,9.6
Harry Potter și piatra filosofală,7.6
Închisoarea îngerilor,9.3
Interstellar: Călătorind prin univers,8.6
Singur acasă,7.6
Vânătorul de recompense 2049,8.0
La cuțite,7.9
Casino Royale,8.0
Nașul,9.2
Răzbunătorii: Sfârșitul jocului,8.4
A fost odată... la Hollywood,7.6
Sardar Udham,8.9
Titanic,7.8
Vanatorii de fantome,7.8
V de la Vendetta,8.1
007: Coordonata Skyfall,7.8
Joker,8.4
1917: Speranță și moarte,8.3
Lupul de pe Wall Street,8.2
Matrix,8.7
Stăpânul inelelor: Frăția inelului,8.8
Parazit,8.6
Cavalerul negru,9.0
Apocalipsul acum,8.4
Salvați soldatul Ryan,8.6
Fiicele doctorului March,7.8
Zack Snyder - Liga dreptății,8.1
Halloween,7.7
Moneyball: Arta de a învinge,7.6
Gardienii galaxiei,8.0
Fight Club - Sala de lupte,8.8
Începutul,8.8
Strigă-mă pe numele tău,7.9
Prizonieri,8.1
Pulp Fiction,8.9
Dunkirk,7.8
Gangsteri cu stil,7.8
Mandrie si prejudecata,7.8
American Psycho,7.6
Harry Potter și Talismanele Morții: Partea a II-a,8.1
Gladiatorul,8.5
Harry Potter și Pocalul de Foc,7.7
Obsesia,8.2
Primul contact,7.9
Hotel Grand Budapest,8.1
Jojo Rabbit,7.9
Forrest Gump,8.8
Leon,8.5
