,NAME,PRICE
0,"REDMI 9i Sport (Carbon Black, 64 GB)","₹8,499"
1,"realme C21 (Cross Black, 64 GB)","₹9,999"
2,"realme C21 (Cross Black, 32 GB)","₹8,999"
3,"realme C21 (Cross Blue, 64 GB)","₹9,999"
4,"realme C21 (Cross Blue, 32 GB)","₹8,999"
5,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499"
6,"POCO C3 (Matte Black, 64 GB)","₹8,999"
7,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
8,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499"
9,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
10,"POCO C31 (Royal Blue, 64 GB)","₹9,499"
11,"REDMI 9i (Sea Blue, 64 GB)","₹8,499"
12,"Infinix Hot 11 (Emerald Green, 64 GB)","₹9,499"
13,"POCO C3 (Arctic Blue, 32 GB)","₹8,499"
14,"POCO C31 (Shadow Gray, 64 GB)","₹9,499"
15,"POCO C31 (Royal Blue, 32 GB)","₹8,499"
16,"Infinix Hot 11S (Polar Black, 64 GB)","₹10,499"
17,"MOTOROLA e40 (Carbon Gray, 64 GB)","₹9,499"
18,"POCO M2 Reloaded (Greyish Black, 64 GB)","₹9,999"
19,"realme 8i (Space Purple, 64 GB)","₹13,999"
20,"realme 8i (Space Black, 64 GB)","₹13,999"
21,"realme 8s 5G (Universe Blue, 128 GB)","₹19,999"
22,"realme 8s 5G (Universe Purple, 128 GB)","₹17,999"
23,"REDMI 9i (Nature Green, 64 GB)","₹8,499"
